town,COUNTY,longitude,latitude,cost_of_living,Housing,Food,Energy,Transport,Education,PD,Population,FC,DUC,EC,CPI,AP,NHUP,IR,RR,SEP,PAD
Palatine,Carlow,-6.86251742,52.86079141,2.069368104,2.792168061,1.420450859,2.498689216,2.664452385,0.97108,1536.2,276,3.04,0.065895663,16.03,3.2,7.1,0.042553191,2.7,9.8,1.802634908,0.909870164
Rathtoe,Carlow,-6.797010297,52.78685405,2.579376103,2.718998738,1.420450859,2.426926816,2.590804103,3.7397,1296,296,3.04,0.135338273,16.03,3.2,7.1,0.021276596,2.7,9.8,2.013343908,0.979828753
Rathvilly,Carlow,-6.697813021,52.88097329,2.61318408,2.656562804,1.420450859,2.365869739,2.527866997,4.09517,1120.6,1074,3.04,0.230075049,16.03,3.2,7.1,0.531914894,2.7,9.8,3.387564704,2.268614573
Tinryland,Carlow,-6.898172146,52.79982737,2.572246454,2.467159522,1.420450859,2.181923802,2.336318487,4.4553796,720,338,3.04,0.043589851,16.03,3.2,7.1,0,2.7,9.8,3.4569,1.112515194
Tullow,Carlow,-6.735642615,52.80326302,2.263820378,2.76047396,1.420450859,2.467507663,2.632485809,2.0381836,1426.8,5138,3.04,0.19042624,16.03,3.2,7.1,1.680851064,2.7,9.8,3.689135637,3.833888476
Arvagh,Cavan,-7.582632577,53.92300479,2.263906584,2.639693955,1.420450859,2.348979975,2.51040813,2.4,1076.3,419,3.04,0.239745752,16.03,3.2,7.1,0.042553191,2.7,10.775,2.04107672,1.327340218
"Bailieborough, Co Cavan",Cavan,-6.968042999,53.91183639,3.938309034,2.69726351,1.420450859,2.405300812,2.56852999,10.6,1230.7,2974,3.04,0.394435638,16.03,3.2,7.1,0.829787234,2.7,10.775,4.034424815,3.287132425
Ballinagh,Cavan,-7.408045693,53.93185437,3.063402434,2.638933022,1.420450859,2.348109752,2.509518537,6.4,1074.3,1012,3.04,0.08279114,16.03,3.2,7.1,0.446808511,2.7,10.775,3.487426987,2.209153148
Ballyconnell,Cavan,-7.577597052,54.11776296,2.681350704,2.753254089,1.420450859,2.460133298,2.624915275,4.148,1402,1422,3.04,0.255610671,16.03,3.2,7.1,0.957446809,2.7,10.775,3.745701417,2.549288909
Ballyhaise,Cavan,-7.320482346,54.0428464,1.878757341,2.752945572,1.420450859,2.459803428,2.624586843,0.136,1401.2,748,3.04,0.058805877,16.03,3.2,7.1,0.042553191,2.7,10.775,0.908971175,1.906872276
Ballyjamesduff,Cavan,-7.201776889,53.86354139,2.407642513,2.801336432,1.420450859,2.507390517,2.673354759,2.63568,1567.9,2917,3.04,0.200519843,16.03,3.2,7.1,0.638297872,2.7,10.775,3.421234438,3.267780268
Belturbet,Cavan,-7.444277077,54.10035841,3.060579675,2.80015735,1.420450859,2.506175898,2.672114268,5.904,1563.5,1610,3.04,0.139397794,16.03,3.2,7.1,1.127659574,2.7,10.775,4.017422246,3.688879454
Blacklion,Cavan,-7.873790256,54.29087222,2.705605238,2.590148175,1.420450859,2.300887937,2.46053922,4.756,958.7,175,3.04,0.598634974,16.03,3.2,7.1,0.14893617,2.7,10.775,2.831924755,0.454255272
Butlersbridge,Cavan,-7.377458189,54.04559432,3.43521514,2.576340161,1.420450859,2.287066697,2.446217982,8.446,928.2,271,3.04,0.056457897,16.03,3.2,7.1,0.382978723,2.7,10.775,3.477467288,0.891588119
Cavan,Cavan,-7.353750254,53.99435539,1.940894658,2.585500365,1.420450859,2.295556105,2.45504596,0.94792,947.4,11741,3.04,0,16.03,3.2,7.1,4.340425532,2.7,10.775,3.590837376,4.304065093
Cootehill,Cavan,-7.07760625,54.07347385,3.510842285,2.565907362,1.420450859,2.277061535,2.435791671,8.855,905.8,1856,3.04,0.287254663,16.03,3.2,7.1,0.510638298,2.7,10.775,3.612334266,3.218875825
Killeshandra,Cavan,-7.529657337,54.01442217,1.779643344,2.552388626,1.420450859,2.263891871,2.422085364,0.2394,877.7,248,3.04,0.177047952,16.03,3.2,7.1,0.063829787,2.7,10.775,1.127493641,1.00356874
Kilnaleck,Cavan,-7.319837813,53.86153876,2.568828829,2.587271207,1.420450859,2.297795786,2.457362296,4.081264,952.3,481,3.04,0.13707776,16.03,3.2,7.1,0.042553191,2.7,10.775,2.21850061,1.666007264
Kingscourt,Cavan,-6.80976921,53.9049308,2.197016342,2.82154421,1.420450859,2.527398368,2.693808273,1.52188,1643.2,2955,3.04,0.551282264,16.03,3.2,7.1,0.914893617,2.7,10.775,3.359441434,3.481393924
Loch Gowna,Cavan,-7.533020584,53.87327396,2.484884203,2.371965858,1.420450859,2.089834132,2.238920168,4.30325,574.5,168,3.04,0.216329759,16.03,3.2,7.1,0.021276596,2.7,10.775,1.720988753,0.614103973
Mullagh,Cavan,-6.944571634,53.81133308,2.702127049,2.929285426,1.420450859,2.633558814,2.802090147,3.72525,2109.7,1651,3.04,0.448245815,16.03,3.2,7.1,1.936170213,2.7,10.775,4.182319661,2.899276438
Shercock,Cavan,-6.895472744,53.99462407,2.559692252,2.745710204,1.420450859,2.452878445,2.617456751,3.561965,1377.8,574,3.04,0.458277589,16.03,3.2,7.1,0.106382979,2.7,10.775,2.717747975,1.84276939
Swanlinbar,Cavan,-7.702396363,54.19153951,2.258454892,2.697686507,1.420450859,2.40578191,2.569025184,2.19933,1232.1,222,3.04,0.400544236,16.03,3.2,7.1,0,2.7,10.775,2.9874,0.892817376
Virginia,Cavan,-7.082333778,53.83606431,2.172388918,2.677837734,1.420450859,2.386158639,2.54880408,1.82869328,1176,3211,3.04,0.314202116,16.03,3.2,7.1,1.872340426,2.7,10.775,3.604933005,3.564477688
Ardnacrusha,Clare,-8.608534671,52.71128586,2.473298836,2.655714682,1.420450859,2.364198497,2.526130141,3.4,1115.9,1229,3.04,0.390591261,16.03,3.2,7.1,0.340425532,2.7,11.825,3.111126319,2.604096103
Ballycannan,Clare,-8.650826746,52.70161938,3.174890681,2.89637711,1.420450859,2.600843859,2.768781578,6.188,1953.8,629,3.04,0.354892692,16.03,3.2,7.1,0,2.7,11.825,2.8256,1.934271251
Ballyvaughan,Clare,-9.150805625,53.11558705,2.064684105,2.382257243,1.420450859,2.098892351,2.24854007,2.17328,587.3,361,3.04,0.322889648,16.03,3.2,7.1,0.042553191,2.7,11.825,1.734907822,1.379017952
Broadford,Clare,-8.6344112,52.80546563,2.667886242,2.472544726,1.420450859,2.185933144,2.340502482,4.92,726.6,294,3.04,0.343586102,16.03,3.2,7.1,0.063829787,2.7,11.825,2.358283893,1.173719761
Bunratty,Clare,-8.815515473,52.69910814,0.340291631,2.419691687,1.420450859,2.134750266,2.286565346,-6.56,641.5,288,3.04,0.216226637,16.03,3.2,7.1,0.340425532,2.7,11.825,2.01256,1.153100474
Clonlara,Clare,-8.555505558,52.72198105,1.977313165,2.874560353,1.420450859,2.579310547,2.746826465,0.2654176,1857.2,724,3.04,0.437716791,16.03,3.2,7.1,0.510638298,2.7,11.825,2.400901777,2.074931386
Corofin,Clare,-9.063923911,52.9447535,3.076790649,2.721826334,1.420450859,2.428871663,2.592804387,6.22,1302,793,3.04,0.133675793,16.03,3.2,7.1,0.106382979,2.7,11.825,2.935273515,2.165963215
Cratloe,Clare,-8.764648813,52.69754152,2.529220414,2.402787176,1.420450859,2.11850325,2.269360783,4.435,616.4,899,3.04,0.257109168,16.03,3.2,7.1,0.404255319,2.7,11.825,3.043411997,2.291423028
Crusheen,Clare,-8.895914543,52.93840687,2.276568924,2.975383761,1.420450859,2.678856986,2.848153015,1.46,2346.6,649,3.04,0.123492697,16.03,3.2,7.1,0.510638298,2.7,11.825,3.242905306,1.965572711
Doonbeg,Clare,-9.524069894,52.73126293,2.920331418,2.345681764,1.420450859,2.064094436,2.21143003,6.56,538.6,279,3.04,0.559785135,16.03,3.2,7.1,0.085106383,2.7,11.825,2.478132322,1.121351776
Ennis,Clare,-8.975802946,52.84423527,2.573715092,2.691091589,1.420450859,2.397409846,2.560423164,3.7992,1208.4,27923,3.04,0,16.03,3.2,7.1,16.0212766,2.7,11.825,4.866599991,5.752572639
Ennistimon,Clare,-9.293989296,52.93891072,2.323849042,2.620239226,1.420450859,2.329508914,2.490246212,2.7588,1027.2,1137,3.04,0.33197288,16.03,3.2,7.1,0.106382979,2.7,11.825,2.479247374,2.526288488
Feakle,Clare,-8.652118003,52.92412521,1.883378532,2.463406775,1.420450859,2.177060158,2.331174865,1.0248,711.1,134,3.04,0.333398177,16.03,3.2,7.1,0.276595745,2.7,11.825,2.30441529,0.387979794
Inagh,Clare,-9.177663091,52.87630087,3.309801316,2.757220985,1.420450859,2.463678501,2.628556236,7.2791,1413.9,228,3.04,0.204391097,16.03,3.2,7.1,0,2.7,11.825,2.3659,0.919485623
Kildysart,Clare,-9.106411166,52.67434227,2.791702319,2.613481424,1.420450859,2.322837803,2.483341509,5.1184,1011.1,436,3.04,0.214294516,16.03,3.2,7.1,0.106382979,2.7,11.825,2.74080048,1.567782237
Kilfenora,Clare,-9.217664706,52.99065815,3.281683543,2.710193127,1.420450859,2.417537819,2.581135908,7.2791,1267.2,152,3.04,0.282730914,16.03,3.2,7.1,0,2.7,11.825,1.9856,0.514020515
Kilkee,Clare,-9.645833008,52.67861878,2.103234228,1.995152984,1.420450859,1.736412905,1.84885439,3.5153,231.4,1214,3.04,0.690194978,16.03,3.2,7.1,1.340425532,2.7,11.825,3.03756844,2.564949357
Kilkishen,Clare,-8.746897406,52.80719547,2.813806521,2.836865219,1.420450859,2.542083837,2.708832692,4.5608,1701.6,651,3.04,0.231882929,16.03,3.2,7.1,0.063829787,2.7,11.825,2.694921902,1.968649636
Killaloe,Clare,-8.446871394,52.80631254,2.458291545,2.661973435,1.420450859,2.370354085,2.532479344,3.3062,1132.2,1666,3.04,0.530289279,16.03,3.2,7.1,0.893617021,2.7,11.825,3.524403705,2.908320817
Kilmaley,Clare,-9.115029134,52.824606,2.783145442,2.597342149,1.420450859,2.307019081,2.466939119,5.123976,973.6,296,3.04,0.140603129,16.03,3.2,7.1,0.319148936,2.7,11.825,3.201981053,1.180499448
Kilmihil,Clare,-9.319651857,52.72209472,2.297388508,2.68850628,1.420450859,2.396311777,2.559269623,2.422404,1204.7,472,3.04,0.36489778,16.03,3.2,7.1,0.085106383,2.7,11.825,2.395087619,1.647118979
Kilmurry,Clare,-8.780382992,52.77556593,1.950864054,2.774817156,1.420450859,2.480979622,2.646300634,0.431772,1473,229,3.04,0.207133864,16.03,3.2,7.1,0.021276596,2.7,11.825,1.131359364,0.923861997
Kilrush,Clare,-9.488331507,52.63882201,2.353911926,2.830488563,1.420450859,2.535902273,2.702501934,2.280216,1676.5,2649,3.04,0.552159521,16.03,3.2,7.1,0.382978723,2.7,11.825,3.165554194,4.143134726
Lehinch,Clare,-9.335865085,52.93186194,2.087506106,2.42420116,1.420450859,2.139079537,2.291125054,2.16267392,648.1,1018,3.04,0.370571418,16.03,3.2,7.1,1.489361702,2.7,11.825,3.319633247,2.415735191
Liscannor,Clare,-9.394608764,52.93734256,1.687084126,2.260403125,1.420450859,1.98274015,2.123928737,0.64789776,439.8,135,3.04,0.429030629,16.03,3.2,7.1,0.106382979,2.7,11.825,1.48163385,0.395414772
Lisdoonvarna,Clare,-9.292565057,53.02853867,2.103320825,2.88189308,1.420450859,2.58654786,2.754209608,0.87350272,1889.2,934,3.04,0.366477801,16.03,3.2,7.1,0.021276596,2.7,11.825,1.545444341,2.329616432
Lissycasey,Clare,-9.144853255,52.75038333,1.637597261,2.599071733,1.420450859,2.308762856,2.468745018,-0.60904416,977.6,390,3.04,0.193355098,16.03,3.2,7.1,0.085106383,2.7,11.825,1.2369,1.456286733
Miltown Malbay,Clare,-9.399078146,52.85403054,1.413392887,1.538147471,1.420450859,1.347564501,1.347551603,1.41325,70.6,453,3.04,0.423388524,16.03,3.2,7.1,0.85106383,2.7,11.825,1.928985829,1.606032119
Mountshannon,Clare,-8.431936515,52.93198118,3.26331205,2.490472716,1.420450859,2.203360035,2.358776638,7.8435,757.7,209,3.04,0.5508993,16.03,3.2,7.1,0.85106383,2.7,11.825,3.703969322,0.832474246
Newmarket-On-Fergus,Clare,-8.894980112,52.7616308,0.838494506,2.870370859,1.420450859,2.575014174,2.742456639,-5.41582,1839,1887,3.04,0.115567428,16.03,3.2,7.1,1.489361702,2.7,11.825,1.69856,3.032883539
O'Briensbridge-Montpelier,Clare,-8.501020038,52.74976605,2.348238644,2.519332936,1.420450859,2.23136821,2.388111217,3.18193,811,451,3.04,0.484090119,16.03,3.2,7.1,0.14893617,2.7,11.825,2.584711658,1.601607333
Parteen,Clare,-8.61466613,52.6943748,1.787524439,2.551222214,1.420450859,2.262290392,2.420398731,0.28326,874,889,3.04,0.390996114,16.03,3.2,7.1,0.042553191,2.7,11.825,1.022628821,2.280237229
Quilty,Clare,-9.457192906,52.8155856,2.270900107,2.744425765,1.420450859,2.451202389,2.61573432,2.1226872,1372.3,211,3.04,0.482241742,16.03,3.2,7.1,0.446808511,2.7,11.825,3.114456501,0.841998127
Quin,Clare,-8.865305038,52.81660289,2.378352963,2.901714661,1.420450859,2.606025582,2.774069712,2.189504,1978.1,922,3.04,0.113900555,16.03,3.2,7.1,0.234042553,2.7,11.825,3.005888813,2.316685217
Scarriff-Tuamgraney,Clare,-8.535859585,52.90470853,1.835166389,2.326304761,1.420450859,2.045433393,2.191477932,1.192165,514.4,854,3.04,0.444080146,16.03,3.2,7.1,0.170212766,2.7,11.825,2.018629456,2.240071188
Shannon,Clare,-8.87656315,52.7074516,2.60099117,2.755813517,1.420450859,2.462076947,2.626914526,3.7397,1408.6,10256,3.04,0.168992041,16.03,3.2,7.1,3,2.7,11.825,4.198745703,4.725758173
Sixmilebridge,Clare,-8.775339208,52.74292468,2.067886523,2.934032065,1.420450859,2.637932187,2.806547506,0.54047,2131.8,2832,3.04,0.224609767,16.03,3.2,7.1,1.638297872,2.7,11.825,3.275910918,3.438878449
Spanish Point,Clare,-9.43157251,52.84401869,2.229312651,2.171021285,1.420450859,1.900286853,2.033594257,3.62121,355.1,261,3.04,1.501021507,16.03,3.2,7.1,0.106382979,2.7,11.825,2.13607653,1.054660401
Tulla,Clare,-8.759721012,52.86578815,1.929035396,2.726331698,1.420450859,2.433686546,2.597701675,0.4670062,1315.5,697,3.04,1.109792298,16.03,3.2,7.1,1.170212766,2.7,11.825,2.85667833,2.036925405
Whitegate,Clare,-8.372973443,52.94922394,1.37582132,2.939884214,1.420450859,2.644048579,2.81274018,-2.938017232,2161.3,181,3.04,1.097152201,16.03,3.2,7.1,0.021276596,2.7,11.825,2.456,0.688637025
Aghada-Rostellan,Cork,-8.213342791,51.83871924,2.814978654,2.221186306,1.420450859,1.947543116,2.085712987,6.4,402.9,1159,3.04,0.091067181,16.03,3.2,7.1,0.340425532,2.7,9.85,2.943399366,2.019359741
Baile Mhic re,Cork,-9.154967717,51.94014717,4.264394693,3.341992558,1.420450859,3.043186113,3.216343936,10.3,5481.4,366,3.04,0.856215128,16.03,3.2,7.1,0.446808511,2.7,9.85,4.401850157,0.866680231
Ballineen-Enniskean,Cork,-8.938449445,51.73746977,2.398503133,2.66370742,1.420450859,2.373075404,2.535281982,3,1139.4,766,3.04,0.64603435,16.03,3.2,7.1,0.276595745,2.7,9.85,2.975642964,1.605229068
Ballinspittle,Cork,-8.594782568,51.66415006,2.759340677,2.769674925,1.420450859,2.476685968,2.641891633,4.488,1457.9,369,3.04,0.348217422,16.03,3.2,7.1,0.234042553,2.7,9.85,3.185075411,0.874843542
Ballyclogh,Cork,-8.74023971,52.16749832,2.414262324,2.578849906,1.420450859,2.290382655,2.449628199,3.332,934.9,272,3.04,0.53778478,16.03,3.2,7.1,0.021276596,2.7,9.85,1.821372295,0.569848964
Ballycotton,Cork,-8.013774245,51.82953218,2.78725549,2.861877501,1.420450859,2.567334741,2.734614347,4.352,1805.8,544,3.04,0.290351183,16.03,3.2,7.1,0.361702128,2.7,9.85,3.453709599,1.262996145
Ballydehob,Cork,-9.462471425,51.56031164,2.941198596,2.664005168,1.420450859,2.373672877,2.535864076,5.712,1140.2,345,3.04,1.196097141,16.03,3.2,7.1,0.234042553,2.7,9.85,3.183064063,0.807591315
Ballydesmond,Cork,-9.235069444,52.18069388,2.501537576,2.793253521,1.420450859,2.500114639,2.665868863,3.128,1540,216,3.04,0.98750229,16.03,3.2,7.1,0.106382979,2.7,9.85,2.709659612,0.339325306
Ballygarvan,Cork,-8.462148399,51.82263533,1.96973122,2.563367056,1.420450859,2.275089337,2.433748848,1.156,901.7,556,3.04,0.162202357,16.03,3.2,7.1,0.021276596,2.7,9.85,1.345922046,1.284815192
Ballyhooly,Cork,-8.396804378,52.14577346,2.325386088,2.523919176,1.420450859,2.236856699,2.393863707,3.05184,822.1,610,3.04,0.306174522,16.03,3.2,7.1,0.787234043,2.7,9.85,3.295590275,1.377505855
Ballymacoda,Cork,-7.938570796,51.89202496,1.110817569,2.751115631,1.420450859,2.458494218,2.623227138,-3.6992,1396.4,223,3.04,0.366443159,16.03,3.2,7.1,0.063829787,2.7,9.85,#NUM!,0.371218669
Ballynoe,Cork,-8.096715419,52.05940243,2.28337004,2.716925932,1.420450859,2.424950666,2.588762745,2.26576,1289.7,211,3.04,0.29094251,16.03,3.2,7.1,0.042553191,2.7,9.85,2.094634743,0.315905031
Baltimore,Cork,-9.371816397,51.48184171,1.9306305,2.621474257,1.420450859,2.332184955,2.492962431,0.78608,1032.6,414,3.04,1.131791155,16.03,3.2,7.1,0.276595745,2.7,9.85,2.351244362,0.989912872
Bandon,Cork,-8.741864796,51.74371024,1.809690799,2.651948532,1.420450859,2.360878727,2.522695879,0.09248,1107,8196,3.04,0.452519417,16.03,3.2,7.1,7.446808511,2.7,9.85,2.882165628,3.663561646
Banteer,Cork,-8.893970229,52.13008361,3.131738216,2.891354321,1.420450859,2.596520815,2.764365085,5.986,1933.6,362,3.04,0.652090948,16.03,3.2,7.1,0.106382979,2.7,9.85,3.090375496,1.386294361
Bantry,Cork,-9.446831587,51.68191805,2.528364795,2.236113845,1.420450859,1.96294677,2.102312501,4.92,417.3,2929,3.04,1.15668202,16.03,3.2,7.1,1,2.7,9.85,3.312413487,3.583518938
Belgooly,Cork,-8.484858088,51.73731696,0.205161707,3.125684187,1.420450859,2.828195619,2.999477869,-9.348,3326,823,3.04,0.216178812,16.03,3.2,7.1,0.021276596,2.7,9.85,3.0258,1.677003099
Blarney,Cork,-8.560264857,51.93471665,2.669156101,2.776171227,1.420450859,2.482896216,2.648262201,4.018,1479.6,2779,3.04,0.26947614,16.03,3.2,7.1,2.319148936,2.7,9.85,4.139482895,2.893893328
Boherbue,Cork,-9.070780541,52.15564704,2.613135312,2.35161434,1.420450859,2.07189092,2.219720439,5.002,548.7,422,3.04,0.824738402,16.03,3.2,7.1,0.042553191,2.7,9.85,2.067410785,1.009052212
Bridebridge,Cork,-8.22860198,52.08053776,1.71209484,2.463925821,1.420450859,2.178937983,2.333159538,0.164,714.5,223,3.04,0.238176563,16.03,3.2,7.1,0,2.7,9.85,2.5478,0.371218669
Buttevant,Cork,-8.672104087,52.23207124,3.57610232,2.729384777,1.420450859,2.437264376,2.601411587,8.692,1327.6,1080,3.04,0.528108551,16.03,3.2,7.1,0.106382979,2.7,9.85,3.089059108,1.948763218
Bweeng,Cork,-8.723090061,52.04405289,3.114512248,2.890013683,1.420450859,2.595135926,2.76296077,5.904,1927.6,728,3.04,0.460895976,16.03,3.2,7.1,0.106382979,2.7,9.85,3.083035413,1.554347946
Carrigaline,Cork,-8.393078912,51.81533584,2.848815899,3.059434373,1.420450859,2.761615474,2.932098787,4.07048,2847.7,18239,3.04,0.098083797,16.03,3.2,7.1,26.19148936,2.7,9.85,5.482300055,4.775364335
Carrignavar,Cork,-8.476978163,51.98820893,2.558492733,2.87186922,1.420450859,2.577170955,2.744652631,3.17832,1848.2,563,3.04,0.219491218,16.03,3.2,7.1,0.063829787,2.7,9.85,2.573969983,1.297326526
Carrigtwohill,Cork,-8.268080999,51.91126924,2.68392627,2.95120493,1.420450859,2.655210545,2.824125014,3.56864,2220.2,5568,3.04,0.066853517,16.03,3.2,7.1,4.723404255,2.7,9.85,4.573149954,3.5888381
Castlelyons,Cork,-8.237741834,52.09047003,2.500920921,2.719600548,1.420450859,2.427532378,2.591420822,3.3456,1297.7,428,3.04,0.245037037,16.03,3.2,7.1,0.255319149,2.7,9.85,3.044731708,1.023170094
Castlemagner,Cork,-8.824128985,52.16702222,2.426191062,2.799720614,1.420450859,2.506311938,2.672231896,2.73224,1563.3,354,3.04,0.607700646,16.03,3.2,7.1,0.106382979,2.7,9.85,2.657433319,0.833343811
Castlemartyr,Cork,-8.052984731,51.91291542,2.671362185,2.98593992,1.420450859,2.68979888,2.859261266,3.40136,2407.3,1603,3.04,0.25685948,16.03,3.2,7.1,0.021276596,2.7,9.85,2.241084958,2.343679051
Castletownbere,Cork,-9.904679334,51.65222815,2.248044556,2.556905628,1.420450859,2.269791394,2.4281149,2.56496,888.1,999,3.04,1.614309596,16.03,3.2,7.1,0.425531915,2.7,9.85,2.986474605,1.870801677
Castletownroche,Cork,-8.46603005,52.17060254,2.481453173,2.948113427,1.420450859,2.652441434,2.821300145,2.56496,2205.4,509,3.04,0.355813935,16.03,3.2,7.1,0.063829787,2.7,9.85,2.557591364,1.196494914
Castletownshend,Cork,-9.176581345,51.52894676,2.103426951,2.295135703,1.420450859,2.018428529,2.162399665,2.62072,480.2,167,3.04,0.932138785,16.03,3.2,7.1,0.021276596,2.7,9.85,1.427744921,0.08204071
Charleville,Cork,-8.68534549,52.35489156,2.197704195,2.772009953,1.420450859,2.479004838,2.644255325,1.6728,1465.5,3970,3.04,0.629863197,16.03,3.2,7.1,1.70212766,2.7,9.85,3.620421972,3.250568272
Churchtown,Cork,-8.73322507,52.27117465,1.727107662,2.954736318,1.420450859,2.65905503,2.828016101,-1.22672,2239.5,684,3.04,0.599015457,16.03,3.2,7.1,0.021276596,2.7,9.85,3.1125,1.492004816
Clonakilty,Cork,-8.891652408,51.62269528,2.32098683,2.624653393,1.420450859,2.33446331,2.495356989,2.7300096,1039,5112,3.04,0.632514038,16.03,3.2,7.1,5.978723404,2.7,9.85,4.229388184,3.931825633
Clondrohid,Cork,-9.021169806,51.92869946,2.237421114,2.636714342,1.420450859,2.346805782,2.508126586,2.275008,1070,180,3.04,0.721946485,16.03,3.2,7.1,0.042553191,2.7,9.85,2.015298844,0.157003749
Clondulane,Cork,-8.219772814,52.14180243,2.347510662,2.960596298,1.420450859,2.664759273,2.833823682,1.8579232,2270.1,470,3.04,0.299324148,16.03,3.2,7.1,0.021276596,2.7,9.85,1.952974889,1.116779593
Cloughduv,Cork,-8.787588666,51.84860698,2.061671671,2.72356036,1.420450859,2.431428689,2.59541445,1.137504,1309.4,440,3.04,0.484555103,16.03,3.2,7.1,1.617021277,2.7,9.85,3.381741003,1.050821625
Cloyne,Cork,-8.12525383,51.86215289,1.890328033,3.09632581,1.420450859,2.799042919,2.969990178,-0.8341696,3107.5,1967,3.04,0.177986465,16.03,3.2,7.1,1.085106383,2.7,9.85,3.123,2.548311716
Coachford,Cork,-8.791306391,51.90969275,3.037279623,2.626554917,1.420450859,2.336704654,2.497687686,6.305,1044.8,450,3.04,0.491371467,16.03,3.2,7.1,0.744680851,2.7,9.85,3.690688441,1.073294481
Cobh,Cork,-8.303067021,51.85430109,3.087816159,3.080896122,1.420450859,2.783485513,2.9542483,5.2,2997,14148,3.04,0,16.03,3.2,7.1,8.063829787,2.7,9.85,5.099231439,4.143134726
Conna,Cork,-8.106285826,52.09194138,2.874714587,2.724486149,1.420450859,2.432307829,2.596328096,5.2,1312.4,609,3.04,0.30853808,16.03,3.2,7.1,0.829787234,2.7,9.85,3.753036314,0
Cork city and suburbs,Cork,-8.455045198,51.89687799,3.627370996,2.682624194,1.420450859,2.380649565,2.543130361,9.11,1160.9,222526,3.04,0.157829525,16.03,3.2,7.1,132.7659574,2.7,9.85,6.14739992,7.175489714
Courtbrack,Cork,-8.644645333,51.96709702,2.986957446,2.969018794,1.420450859,2.673060477,2.842257099,5.03,2314.6,459,3.04,0.359720262,16.03,3.2,7.1,0.957446809,2.7,9.85,4.04715859,1.093097108
Courtmacsherry,Cork,-8.704606226,51.63253785,2.736571095,2.492868645,1.420450859,2.206967773,2.3625682,5.2,764.5,639,3.04,0.458707605,16.03,3.2,7.1,0.617021277,2.7,9.85,3.389680973,1.423951352
Crookstown,Cork,-8.83204339,51.84138255,3.253115561,2.674814917,1.420450859,2.383875912,2.546436117,7.24,1169.3,183,3.04,0.529134092,16.03,3.2,7.1,0.085106383,2.7,9.85,2.857626649,0.173533051
Crossbarry,Cork,-8.64441082,51.8022474,2.668176196,2.748640632,1.420450859,2.456060077,2.62072941,4.095,1388.4,399,3.04,0.345289988,16.03,3.2,7.1,0.021276596,2.7,9.85,2.082670653,0.953008315
